substrate_en,substrate_de,substrate_fr,substrate_nl,substrate_it,ts_pct,vs_pct_of_ts,n_tot_g_kg_ds,s_tot_g_kg_ds,s_tot_g_kg_fresh,spec_gas_yield_nm3_t
Dairy cows,Milchkühe ( 7000 l),Lisier de vaches laitières,Melkkoeien drijfmest,Vacche da latte ,9.5,79.0,50,4.5,0.427,23.0
Beef Cattle 4 - 27 Month,Färsen 4 - 27 Monate,Lisier génisses (4-27 mois),Jongvee mest (4-27 mnd),Manze:,10.0,67.0,50,4.5,0.45,24.0
Beef Cattle 4 - 20 Month,Mastrinder 4 - 20 Monate ,Lisier taurillons (4-20 mois),Vleesvee mest (4-20 mnd),Vitelloni da ingrasso:,10.0,67.0,50,4.5,0.45,24.0
Calves dung,Kälbergülle,Lisier de veaux,Kalvergier / mest,Vitelli carne bianca:,3.5,70.0,50,3.5,0.123,9.0
pigs,Mastschweine,Lisier de porcs à l’engrais,Varkensdrijfmest,Suini da ingrasso:,4.0,72.2,80,7.0,0.28,13.0
Young pigs,Systemferkel,Lisier de porcelets,Biggenmest,Suini lattonzoli:,4.0,72.2,120,7.5,0.3,13.0
Sow with young pigs 8 kg,Sauen mit Ferkel 8 kg,Lisier truies (porcelets 8 kg),Zeugenmest (met biggen 8 kg),Scrofe con lattonzoli 8 kg,4.0,80.0,120,7.5,0.3,13.0
Sow with young pigs 28 kg,Sauen mit Ferkel 28 kg,Lisier truies (porcelets 28 kg),Zeugenmest (met biggen 28 kg),Scrofe con maialini  28 kg,4.0,72.2,120,7.5,0.3,13.0
Young sow,Jungsauen,Lisier jeunes truies,Gepigmenteerde zeugen,Scorfe da ingravidare,4.0,72.2,80,7.0,0.28,13.0
Broiler droppings,Hähnchenmist,Fientes de poulets de chair,Vleeskuikenmest (droog),Polli,75.3,70.0,40,6.0,4.518,185.0
Dry droppings,Trockenkot,Fientes sèches de pondeuses,Leghennenmest (droog),Ovaiole,42.0,78.0,50,6.5,2.73,161.0
Turkey dung,Geflügelmist Pute,Fumier / fientes de dinde,Kalkoenenmest,Tacchini,55.5,67.0,40,6.5,3.608,142.0
Horse dung,Pferdemist,Fumier de cheval,Paardenmest,Equini,30.0,67.0,20,3.0,0.9,0.0
Strow dung Cattle,Tretmist Mastbullen,Fumier de bovins pailleux,Rundveemest met stro,Letame c/paglia,20.1,67.0,25,3.5,0.704,42.0
Grass silage,Grassilage,Ensilage d’herbe,Graskuil,Insilato di Loietto,28.0,85.0,50,2.5,0.7,140.0
Maize silage,Maissilage,Ensilage de maïs,Maïskuil,Insilato di Mais,30.0,98.0,14,1.2,0.36,210.0
Maize powder,Maismehl,Farine de maïs,Maïsmeel,Farina di Mais,64.0,98.0,18,1.2,0.768,416.0
Grain,Getreide,Céréales (orge/blé/avoine),Graan (gerst/tarwe/haver),Orzo-Frumento-Avena-Triticale (cereali),85.0,95.0,18,1.5,1.275,646.0
Grain dust,Getreidestaub,Poussière de céréales,Graanstof,Orzo-Frumento-Avena-Triticale (cereali),85.1,92.4,24,1.8,1.532,426.0
Grain slurry,Getreideschlempe,Drêches liquides de céréales,Graanspoeling (schlempe),Orzo-Frumento-Avena-Triticale (pastazzo),8.0,95.0,58,4.0,0.32,38.0
green brocken rye crop (GPS),GPS ,Ensilage de céréales immatures (GPS),GPS graansilage,Insilato di cereali,35.0,85.0,15,1.8,0.63,219.0
Green broken grain (CMS),CCM,Maïs épi broyé (CCM),CCM maïs (spil + korrel),Pannocchie c/tutolo,70.0,85.0,10,1.2,0.84,560.0
Wheat bran,Weizenkleie,Son de blé,Tarwezemelen,fiocchi,89.0,85.0,20,2.0,1.78,444.0
